name	code	release_date
Limited Edition Alpha	LEA	1993-08-05
Limited Edition Beta	LEB	1993-10-01
Arabian Nights	ARN	1993-12-01
Unlimited Edition	2ED	1993-12-01
Collector's Edition	CED	1993-12-01
International Collector's Edition	CEI	1993-12-01
Dragon Con	pDRC	1994-01-01
Antiquities	ATQ	1994-03-01
Revised Edition	3ED	1994-04-01
Legends	LEG	1994-06-01
The Dark	DRK	1994-08-01
Media Inserts	pMEI	1995-01-01
Fallen Empires	FEM	1994-11-01
Legend Membership	pLGM	1995-01-01
Fourth Edition	4ED	1995-04-01
Ice Age	ICE	1995-06-01
Chronicles	CHR	1995-07-01
Homelands	HML	1995-10-01
Alliances	ALL	1996-06-10
Rivals Quick Start Set	RQS	1996-07-01
Arena League	pARL	1996-08-02
Celebration	pCEL	1996-08-14
Mirage	MIR	1996-10-08
Multiverse Gift Box	MGB	1996-11-01
Introductory Two-Player Set	ITP	1996-12-31
Visions	VIS	1997-02-03
Fifth Edition	5ED	1997-03-24
Portal Demo Game	pPOD	1997-05-01
Portal	POR	1997-05-01
Vanguard	VAN	1997-05-01
Weatherlight	WTH	1997-06-09
Prerelease Events	pPRE	1997-10-04
Tempest	TMP	1997-10-14
Stronghold	STH	1998-03-02
Portal Second Age	PO2	1998-06-01
Judge Gift Program	pJGP	1998-06-01
Exodus	EXO	1998-06-15
Unglued	UGL	1998-08-11
Asia Pacific Land Program	pALP	1998-09-01
Urza's Saga	USG	1998-10-12
Anthologies	ATH	1998-11-01
Urza's Legacy	ULG	1999-02-15
Classic Sixth Edition	6ED	1999-04-21
Portal Three Kingdoms	PTK	1999-05-01
Urza's Destiny	UDS	1999-06-07
Starter 1999	S99	1999-07-01
Guru	pGRU	1999-07-12
Worlds	pWOR	1999-08-04
Wizards of the Coast Online Store	pWOS	1999-09-04
Mercadian Masques	MMQ	1999-10-04
Battle Royale Box Set	BRB	1999-11-12
Super Series	pSUS	1999-12-01
Friday Night Magic	pFNM	2000-02-01
European Land Program	pELP	2000-02-05
Nemesis	NMS	2000-02-14
Starter 2000	S00	2000-04-01
Prophecy	PCY	2000-06-05
Beatdown Box Set	BTD	2000-10-01
Invasion	INV	2000-10-02
Planeshift	PLS	2001-02-05
Seventh Edition	7ED	2001-04-11
Magic Player Rewards	pMPR	2001-05-01
Apocalypse	APC	2001-06-04
Odyssey	ODY	2001-10-01
Deckmasters	DKM	2001-12-01
Torment	TOR	2002-02-04
Judgment	JUD	2002-05-27
Onslaught	ONS	2002-10-07
Legions	LGN	2003-02-03
Scourge	SCG	2003-05-26
Release Events	pREL	2003-07-26
Eighth Edition	8ED	2003-07-28
Mirrodin	MRD	2003-10-02
Darksteel	DST	2004-02-06
Fifth Dawn	5DN	2004-06-04
Champions of Kamigawa	CHK	2004-10-01
Unhinged	UNH	2004-11-20
Betrayers of Kamigawa	BOK	2005-02-04
Saviors of Kamigawa	SOK	2005-06-03
Ninth Edition	9ED	2005-07-29
Ravnica: City of Guilds	RAV	2005-10-07
Two-Headed Giant Tournament	p2HG	2005-12-09
Gateway	pGTW	2006-01-01
Guildpact	GPT	2006-02-03
Champs and States	pCMP	2006-03-18
Dissension	DIS	2006-05-05
Coldsnap	CSP	2006-07-21
Coldsnap Theme Decks	CST	2006-07-21
Time Spiral	TSP	2006-10-06
"Time Spiral ""Timeshifted"""	TSB	2006-10-06
Happy Holidays	pHHO	2006-12-31
Planar Chaos	PLC	2007-02-02
Pro Tour	pPRO	2007-02-09
Grand Prix	pGPX	2007-02-24
Future Sight	FUT	2007-05-04
Tenth Edition	10E	2007-07-13
Magic Game Day	pMGD	2007-07-14
Masters Edition	MED	2007-09-10
Lorwyn	LRW	2007-10-12
Duel Decks: Elves vs. Goblins	EVG	2007-11-16
Launch Parties	pLPA	2008-02-01
Morningtide	MOR	2008-02-01
15th Anniversary	p15A	2008-04-01
Shadowmoor	SHM	2008-05-02
Summer of Magic	pSUM	2007-07-21
Eventide	EVE	2008-07-25
From the Vault: Dragons	DRB	2008-08-29
Masters Edition II	ME2	2008-09-22
Wizards Play Network	pWPN	2008-10-01
Shards of Alara	ALA	2008-10-03
Duel Decks: Jace vs. Chandra	DD2	2008-11-07
Conflux	CON	2009-02-06
Duel Decks: Divine vs. Demonic	DDC	2009-04-10
Alara Reborn	ARB	2009-04-30
Magic 2010	M10	2009-07-17
From the Vault: Exiled	V09	2009-08-28
Planechase	HOP	2009-09-04
Masters Edition III	ME3	2009-09-07
Zendikar	ZEN	2009-10-02
Duel Decks: Garruk vs. Liliana	DDD	2009-10-30
Premium Deck Series: Slivers	H09	2009-11-20
Worldwake	WWK	2010-02-05
Duel Decks: Phyrexia vs. the Coalition	DDE	2010-03-19
Rise of the Eldrazi	ROE	2010-04-23
Duels of the Planeswalkers	DPA	2010-06-04
Archenemy	ARC	2010-06-18
Magic 2011	M11	2010-07-16
From the Vault: Relics	V10	2010-08-27
Duel Decks: Elspeth vs. Tezzeret	DDF	2010-09-03
Scars of Mirrodin	SOM	2010-10-01
Premium Deck Series: Fire and Lightning	PD2	2010-11-19
Masters Edition IV	ME4	2011-01-10
Mirrodin Besieged	MBS	2011-02-04
Duel Decks: Knights vs. Dragons	DDG	2011-04-01
New Phyrexia	NPH	2011-05-13
Magic: The Gathering-Commander	CMD	2011-06-17
Magic 2012	M12	2011-07-15
From the Vault: Legends	V11	2011-08-26
Duel Decks: Ajani vs. Nicol Bolas	DDH	2011-09-02
Innistrad	ISD	2011-09-30
Premium Deck Series: Graveborn	PD3	2011-11-18
Dark Ascension	DKA	2012-02-03
Duel Decks: Venser vs. Koth	DDI	2012-03-30
Avacyn Restored	AVR	2012-05-04
Planechase 2012 Edition	PC2	2012-06-01
Magic 2013	M13	2012-07-13
From the Vault: Realms	V12	2012-08-31
Duel Decks: Izzet vs. Golgari	DDJ	2012-09-07
Return to Ravnica	RTR	2012-10-05
Commander's Arsenal	CM1	2012-11-02
Gatecrash	GTC	2013-02-01
Duel Decks: Sorin vs. Tibalt	DDK	2013-03-15
World Magic Cup Qualifiers	pWCQ	2013-04-06
Dragon's Maze	DGM	2013-05-03
Modern Masters	MMA	2013-06-07
Magic 2014 Core Set	M14	2013-07-19
From the Vault: Twenty	V13	2013-08-23
Duel Decks: Heroes vs. Monsters	DDL	2013-09-06
Theros	THS	2013-09-27
Commander 2013 Edition	C13	2013-11-01
Born of the Gods	BNG	2014-02-07
Duel Decks: Jace vs. Vraska	DDM	2014-03-14
Journey into Nyx	JOU	2014-05-02
Modern Event Deck 2014	MD1	2014-05-30
Magic: The Gathering—Conspiracy	CNS	2014-06-06
Vintage Masters	VMA	2014-06-16
Magic 2015 Core Set	M15	2014-07-18
Clash Pack	CPK	2014-07-18
From the Vault: Annihilation (2014)	V14	2014-08-22
Duel Decks: Speed vs. Cunning	DDN	2014-09-05
Khans of Tarkir	KTK	2014-09-26
Commander 2014	C14	2014-11-07
Duel Decks Anthology, Divine vs. Demonic	DD3_DVD	2014-12-05
Duel Decks Anthology, Elves vs. Goblins	DD3_EVG	2014-12-05
Duel Decks Anthology, Garruk vs. Liliana	DD3_GVL	2014-12-05
